IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.111.175,2095,2095,false,SIN,Asia Pacific,Singapore,16,1.92
8.222.168.24,2052,2052,false,SIN,Asia Pacific,Singapore,14,1.92
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,638,1.91
8.218.243.95,8880,8880,false,HKG,Asia Pacific,Hong Kong,59,1.91
47.243.162.49,2053,2053,true,HKG,Asia Pacific,Hong Kong,82,1.91
47.243.162.49,2096,2096,true,HKG,Asia Pacific,Hong Kong,261,1.90
47.243.162.49,2086,2086,false,HKG,Asia Pacific,Hong Kong,728,1.90
8.219.170.58,80,80,false,SIN,Asia Pacific,Singapore,15,1.90
8.222.212.219,2083,2083,true,SIN,Asia Pacific,Singapore,91,1.90
47.236.249.41,8880,8880,false,SIN,Asia Pacific,Singapore,38,1.90
47.243.173.187,8080,8080,false,HKG,Asia Pacific,Hong Kong,48,1.89
8.217.207.60,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,1.89
8.218.18.235,8080,8080,false,HKG,Asia Pacific,Hong Kong,98,1.89
8.219.213.84,2087,2087,true,SIN,Asia Pacific,Singapore,141,1.88
8.222.213.221,2083,2083,true,SIN,Asia Pacific,Singapore,98,1.88
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,63,1.88
47.76.77.103,443,443,true,HKG,Asia Pacific,Hong Kong,48,1.88
47.242.17.250,80,80,false,HKG,Asia Pacific,Hong Kong,39,1.87
47.242.17.250,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,1.87
8.218.8.142,2095,2095,false,HKG,Asia Pacific,Hong Kong,760,1.87
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,58,1.86
47.242.232.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,1.86
8.218.48.92,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,1.86
8.217.164.10,8880,8880,false,HKG,Asia Pacific,Hong Kong,36,1.86
47.243.162.49,8080,8080,false,HKG,Asia Pacific,Hong Kong,56,1.86
8.219.94.44,2082,2082,false,SIN,Asia Pacific,Singapore,17,1.86
8.219.94.44,2052,2052,false,SIN,Asia Pacific,Singapore,20,1.86
8.217.248.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,756,1.85
8.222.249.98,2083,2083,true,SIN,Asia Pacific,Singapore,126,1.85
8.210.245.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,1.85
47.91.31.231,2096,2096,true,NRT,Asia Pacific,Tokyo,91,1.85
47.242.232.14,8080,8080,false,HKG,Asia Pacific,Hong Kong,467,1.84
47.237.22.45,2086,2086,false,SIN,Asia Pacific,Singapore,14,1.84
47.74.37.50,8080,8080,false,NRT,Asia Pacific,Tokyo,71,1.84
8.222.212.219,2053,2053,true,SIN,Asia Pacific,Singapore,92,1.84
47.236.176.144,2086,2086,false,SIN,Asia Pacific,Singapore,42,1.83
47.242.54.157,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,1.83
8.217.85.14,80,80,false,HKG,Asia Pacific,Hong Kong,576,1.83
47.243.162.49,2052,2052,false,HKG,Asia Pacific,Hong Kong,445,1.83
